CARS&CO;IST
China;China Models
Creative studio;S_B
DIP;DiP Models
ERTL (Auto World);Auto World
iScale;i-Scale
IXO Museum (серия MUS);IXO
IXO Road (серии MOC, CLC);IXO
Keng Fai Toys Co.,Ltd.;KengFai
Markun Toys Co.,;Наши Танки
Northstarmodels;Northstar models
Paragon Models;Paragon
Premium X;PremiumX
SSM;Start Scale Models
Start Scale Models (SSM);Start Scale Models
True Scale Miniatures;TSM Model
VTB Berlinplast;Made in GDR
Автоистория;Автоистория (АИСТ)
Атлас;Atlas
ДеАгостини;DeAgostini
Китай;China Models
Конверсии мастеров-одиночек;Ручная работа
Конверсия - АИСТ + Элекон + SSM;Ручная работа
НАП;Наш автопром
Наши Автобусы;Modimio
Советский Автобус;Советский Автобус (СОВА)
